images\000000000.tif  labels\000000000.tif 
images\000000106.tif  labels\000000106.tif 
images\000000107.tif  labels\000000107.tif 
images\000000108.tif  labels\000000108.tif 
images\000000109.tif  labels\000000109.tif 
images\000000110.tif  labels\000000110.tif 
images\000000111.tif  labels\000000111.tif 
images\000000112.tif  labels\000000112.tif 
images\000000113.tif  labels\000000113.tif 
images\000000114.tif  labels\000000114.tif 
images\000000115.tif  labels\000000115.tif 
images\000000116.tif  labels\000000116.tif 
images\000000117.tif  labels\000000117.tif 
images\000000118.tif  labels\000000118.tif 
images\000000119.tif  labels\000000119.tif 
images\000000120.tif  labels\000000120.tif 
images\000000121.tif  labels\000000121.tif 
images\000000122.tif  labels\000000122.tif 
images\000000123.tif  labels\000000123.tif 
images\000000124.tif  labels\000000124.tif 
images\000000125.tif  labels\000000125.tif 
images\000000126.tif  labels\000000126.tif 
images\000000127.tif  labels\000000127.tif 
images\000000128.tif  labels\000000128.tif 
images\000000129.tif  labels\000000129.tif 
images\000000130.tif  labels\000000130.tif 
images\000000131.tif  labels\000000131.tif 
images\000000132.tif  labels\000000132.tif 
images\000000133.tif  labels\000000133.tif 
images\000000134.tif  labels\000000134.tif 
images\000000135.tif  labels\000000135.tif 
images\000000136.tif  labels\000000136.tif 
images\000000137.tif  labels\000000137.tif 
images\000000138.tif  labels\000000138.tif 
images\000000139.tif  labels\000000139.tif 
images\000000140.tif  labels\000000140.tif 
images\000000141.tif  labels\000000141.tif 
images\000000142.tif  labels\000000142.tif 
images\000000143.tif  labels\000000143.tif 
images\000000144.tif  labels\000000144.tif 
images\000000145.tif  labels\000000145.tif 
images\000000146.tif  labels\000000146.tif 
images\000000147.tif  labels\000000147.tif 
images\000000148.tif  labels\000000148.tif 
images\000000149.tif  labels\000000149.tif 
images\000000150.tif  labels\000000150.tif 
images\000000151.tif  labels\000000151.tif 
images\000000152.tif  labels\000000152.tif 
images\000000153.tif  labels\000000153.tif 
images\000000154.tif  labels\000000154.tif 
images\000000155.tif  labels\000000155.tif 
images\000000156.tif  labels\000000156.tif 
images\000000157.tif  labels\000000157.tif 
images\000000158.tif  labels\000000158.tif 
images\000000159.tif  labels\000000159.tif 
images\000000160.tif  labels\000000160.tif 
images\000000161.tif  labels\000000161.tif 
images\000000162.tif  labels\000000162.tif 
images\000000163.tif  labels\000000163.tif 
images\000000164.tif  labels\000000164.tif 
images\000000165.tif  labels\000000165.tif 
images\000000166.tif  labels\000000166.tif 
images\000000167.tif  labels\000000167.tif 
images\000000168.tif  labels\000000168.tif 
images\000000169.tif  labels\000000169.tif 
images\000000170.tif  labels\000000170.tif 
images\000000171.tif  labels\000000171.tif 
images\000000172.tif  labels\000000172.tif 
images\000000173.tif  labels\000000173.tif 
images\000000174.tif  labels\000000174.tif 
images\000000175.tif  labels\000000175.tif 
images\000000176.tif  labels\000000176.tif 
images\000000177.tif  labels\000000177.tif 
images\000000178.tif  labels\000000178.tif 
images\000000179.tif  labels\000000179.tif 
images\000000180.tif  labels\000000180.tif 
images\000000181.tif  labels\000000181.tif 
images\000000182.tif  labels\000000182.tif 
images\000000183.tif  labels\000000183.tif 
images\000000184.tif  labels\000000184.tif 
images\000000185.tif  labels\000000185.tif 
images\000000186.tif  labels\000000186.tif 
images\000000187.tif  labels\000000187.tif 
images\000000188.tif  labels\000000188.tif 
images\000000189.tif  labels\000000189.tif 
images\000000190.tif  labels\000000190.tif 
images\000000191.tif  labels\000000191.tif 
images\000000192.tif  labels\000000192.tif 
images\000000193.tif  labels\000000193.tif 
images\000000194.tif  labels\000000194.tif 
images\000000195.tif  labels\000000195.tif 
images\000000196.tif  labels\000000196.tif 
images\000000197.tif  labels\000000197.tif 
images\000000198.tif  labels\000000198.tif 
images\000000199.tif  labels\000000199.tif 
images\000000200.tif  labels\000000200.tif 
images\000000201.tif  labels\000000201.tif 
images\000000202.tif  labels\000000202.tif 
images\000000203.tif  labels\000000203.tif 
images\000000204.tif  labels\000000204.tif 
images\000000205.tif  labels\000000205.tif 
images\000000206.tif  labels\000000206.tif 
images\000000207.tif  labels\000000207.tif 
images\000000208.tif  labels\000000208.tif 
images\000000209.tif  labels\000000209.tif 
images\000000210.tif  labels\000000210.tif 
images\000000211.tif  labels\000000211.tif 
images\000000212.tif  labels\000000212.tif 
images\000000213.tif  labels\000000213.tif 
images\000000214.tif  labels\000000214.tif 
images\000000215.tif  labels\000000215.tif 
images\000000216.tif  labels\000000216.tif 
images\000000217.tif  labels\000000217.tif 
images\000000218.tif  labels\000000218.tif 
images\000000219.tif  labels\000000219.tif 
images\000000220.tif  labels\000000220.tif 
images\000000221.tif  labels\000000221.tif 
images\000000222.tif  labels\000000222.tif 
images\000000223.tif  labels\000000223.tif 
images\000000224.tif  labels\000000224.tif 
images\000000225.tif  labels\000000225.tif 
images\000000226.tif  labels\000000226.tif 
images\000000227.tif  labels\000000227.tif 
images\000000228.tif  labels\000000228.tif 
images\000000229.tif  labels\000000229.tif 
images\000000230.tif  labels\000000230.tif 
images\000000231.tif  labels\000000231.tif 
images\000000232.tif  labels\000000232.tif 
images\000000233.tif  labels\000000233.tif 
images\000000234.tif  labels\000000234.tif 
images\000000235.tif  labels\000000235.tif 
images\000000236.tif  labels\000000236.tif 
images\000000237.tif  labels\000000237.tif 
images\000000238.tif  labels\000000238.tif 
images\000000239.tif  labels\000000239.tif 
images\000000240.tif  labels\000000240.tif 
images\000000241.tif  labels\000000241.tif 
images\000000242.tif  labels\000000242.tif 
images\000000243.tif  labels\000000243.tif 
images\000000244.tif  labels\000000244.tif 
images\000000245.tif  labels\000000245.tif 
images\000000246.tif  labels\000000246.tif 
images\000000247.tif  labels\000000247.tif 
images\000000248.tif  labels\000000248.tif 
images\000000249.tif  labels\000000249.tif 
images\000000250.tif  labels\000000250.tif 
images\000000251.tif  labels\000000251.tif 
images\000000252.tif  labels\000000252.tif 
images\000000253.tif  labels\000000253.tif 
images\000000254.tif  labels\000000254.tif 
images\000000255.tif  labels\000000255.tif 
images\000000256.tif  labels\000000256.tif 
images\000000257.tif  labels\000000257.tif 
images\000000258.tif  labels\000000258.tif 
images\000000259.tif  labels\000000259.tif 
images\000000260.tif  labels\000000260.tif 
images\000000261.tif  labels\000000261.tif 
images\000000262.tif  labels\000000262.tif 
images\000000263.tif  labels\000000263.tif 
images\000000264.tif  labels\000000264.tif 
images\000000265.tif  labels\000000265.tif 
images\000000266.tif  labels\000000266.tif 
images\000000267.tif  labels\000000267.tif 
images\000000268.tif  labels\000000268.tif 
images\000000269.tif  labels\000000269.tif 
images\000000270.tif  labels\000000270.tif 
images\000000271.tif  labels\000000271.tif 
images\000000272.tif  labels\000000272.tif 
images\000000273.tif  labels\000000273.tif 
images\000000274.tif  labels\000000274.tif 
images\000000275.tif  labels\000000275.tif 
images\000000276.tif  labels\000000276.tif 
images\000000277.tif  labels\000000277.tif 
images\000000278.tif  labels\000000278.tif 
images\000000279.tif  labels\000000279.tif 
images\000000280.tif  labels\000000280.tif 
images\000000281.tif  labels\000000281.tif 
images\000000282.tif  labels\000000282.tif 
images\000000283.tif  labels\000000283.tif 
images\000000284.tif  labels\000000284.tif 
images\000000285.tif  labels\000000285.tif 
images\000000286.tif  labels\000000286.tif 
images\000000287.tif  labels\000000287.tif 
images\000000288.tif  labels\000000288.tif 
images\000000289.tif  labels\000000289.tif 
images\000000290.tif  labels\000000290.tif 
images\000000291.tif  labels\000000291.tif 
images\000000292.tif  labels\000000292.tif 
images\000000293.tif  labels\000000293.tif 
images\000000294.tif  labels\000000294.tif 
images\000000295.tif  labels\000000295.tif 
images\000000296.tif  labels\000000296.tif 
images\000000297.tif  labels\000000297.tif 
images\000000298.tif  labels\000000298.tif 
images\000000299.tif  labels\000000299.tif 
images\000000300.tif  labels\000000300.tif 
images\000000301.tif  labels\000000301.tif 
images\000000302.tif  labels\000000302.tif 
images\000000303.tif  labels\000000303.tif 
images\000000304.tif  labels\000000304.tif 
images\000000305.tif  labels\000000305.tif 
images\000000306.tif  labels\000000306.tif 
images\000000307.tif  labels\000000307.tif 
images\000000308.tif  labels\000000308.tif 
images\000000309.tif  labels\000000309.tif 
images\000000310.tif  labels\000000310.tif 
images\000000311.tif  labels\000000311.tif 
images\000000312.tif  labels\000000312.tif 
images\000000313.tif  labels\000000313.tif 
images\000000314.tif  labels\000000314.tif 
images\000000315.tif  labels\000000315.tif 
images\000000316.tif  labels\000000316.tif 
images\000000317.tif  labels\000000317.tif 
images\000000318.tif  labels\000000318.tif 
images\000000319.tif  labels\000000319.tif 
images\000000320.tif  labels\000000320.tif 
images\000000321.tif  labels\000000321.tif 
images\000000322.tif  labels\000000322.tif 
images\000000323.tif  labels\000000323.tif 
images\000000324.tif  labels\000000324.tif 
images\000000325.tif  labels\000000325.tif 
images\000000326.tif  labels\000000326.tif 
images\000000327.tif  labels\000000327.tif 
images\000000328.tif  labels\000000328.tif 
images\000000329.tif  labels\000000329.tif 
images\000000330.tif  labels\000000330.tif 
images\000000331.tif  labels\000000331.tif 
images\000000332.tif  labels\000000332.tif 
images\000000333.tif  labels\000000333.tif 
images\000000334.tif  labels\000000334.tif 
images\000000335.tif  labels\000000335.tif 
images\000000336.tif  labels\000000336.tif 
images\000000337.tif  labels\000000337.tif 
images\000000338.tif  labels\000000338.tif 
images\000000339.tif  labels\000000339.tif 
images\000000340.tif  labels\000000340.tif 
images\000000341.tif  labels\000000341.tif 
images\000000342.tif  labels\000000342.tif 
images\000000343.tif  labels\000000343.tif 
images\000000344.tif  labels\000000344.tif 
images\000000345.tif  labels\000000345.tif 
images\000000346.tif  labels\000000346.tif 
images\000000347.tif  labels\000000347.tif 
images\000000348.tif  labels\000000348.tif 
images\000000349.tif  labels\000000349.tif 
images\000000350.tif  labels\000000350.tif 
images\000000351.tif  labels\000000351.tif 
images\000000352.tif  labels\000000352.tif 
images\000000353.tif  labels\000000353.tif 
images\000000354.tif  labels\000000354.tif 
images\000000355.tif  labels\000000355.tif 
images\000000356.tif  labels\000000356.tif 
images\000000357.tif  labels\000000357.tif 
images\000000358.tif  labels\000000358.tif 
images\000000359.tif  labels\000000359.tif 
images\000000360.tif  labels\000000360.tif 
images\000000361.tif  labels\000000361.tif 
images\000000362.tif  labels\000000362.tif 
images\000000363.tif  labels\000000363.tif 
images\000000364.tif  labels\000000364.tif 
images\000000365.tif  labels\000000365.tif 
images\000000366.tif  labels\000000366.tif 
images\000000367.tif  labels\000000367.tif 
images\000000368.tif  labels\000000368.tif 
images\000000369.tif  labels\000000369.tif 
images\000000370.tif  labels\000000370.tif 
images\000000371.tif  labels\000000371.tif 
images\000000372.tif  labels\000000372.tif 
images\000000373.tif  labels\000000373.tif 
images\000000374.tif  labels\000000374.tif 
images\000000375.tif  labels\000000375.tif 
images\000000376.tif  labels\000000376.tif 
images\000000377.tif  labels\000000377.tif 
images\000000378.tif  labels\000000378.tif 
images\000000379.tif  labels\000000379.tif 
images\000000380.tif  labels\000000380.tif 
images\000000381.tif  labels\000000381.tif 
images\000000382.tif  labels\000000382.tif 
images\000000383.tif  labels\000000383.tif 
images\000000384.tif  labels\000000384.tif 
images\000000385.tif  labels\000000385.tif 
images\000000386.tif  labels\000000386.tif 
images\000000387.tif  labels\000000387.tif 
images\000000388.tif  labels\000000388.tif 
images\000000389.tif  labels\000000389.tif 
images\000000390.tif  labels\000000390.tif 
images\000000391.tif  labels\000000391.tif 
images\000000392.tif  labels\000000392.tif 
images\000000393.tif  labels\000000393.tif 
images\000000394.tif  labels\000000394.tif 
images\000000395.tif  labels\000000395.tif 
images\000000396.tif  labels\000000396.tif 
images\000000397.tif  labels\000000397.tif 
images\000000398.tif  labels\000000398.tif 
images\000000399.tif  labels\000000399.tif 
images\000000400.tif  labels\000000400.tif 
images\000000401.tif  labels\000000401.tif 
images\000000402.tif  labels\000000402.tif 
images\000000403.tif  labels\000000403.tif 
images\000000404.tif  labels\000000404.tif 
images\000000405.tif  labels\000000405.tif 
images\000000406.tif  labels\000000406.tif 
images\000000407.tif  labels\000000407.tif 
images\000000408.tif  labels\000000408.tif 
images\000000409.tif  labels\000000409.tif 
images\000000410.tif  labels\000000410.tif 
images\000000411.tif  labels\000000411.tif 
images\000000412.tif  labels\000000412.tif 
images\000000413.tif  labels\000000413.tif 
images\000000414.tif  labels\000000414.tif 
images\000000415.tif  labels\000000415.tif 
images\000000416.tif  labels\000000416.tif 
images\000000417.tif  labels\000000417.tif 
images\000000418.tif  labels\000000418.tif 
images\000000419.tif  labels\000000419.tif 
images\000000420.tif  labels\000000420.tif 
images\000000421.tif  labels\000000421.tif 
images\000000422.tif  labels\000000422.tif 
images\000000423.tif  labels\000000423.tif 
images\000000424.tif  labels\000000424.tif 
images\000000425.tif  labels\000000425.tif 
images\000000426.tif  labels\000000426.tif 
images\000000427.tif  labels\000000427.tif 
images\000000428.tif  labels\000000428.tif 
images\000000429.tif  labels\000000429.tif 
images\000000430.tif  labels\000000430.tif 
images\000000431.tif  labels\000000431.tif 
images\000000432.tif  labels\000000432.tif 
images\000000433.tif  labels\000000433.tif 
images\000000434.tif  labels\000000434.tif 
images\000000435.tif  labels\000000435.tif 
images\000000436.tif  labels\000000436.tif 
images\000000437.tif  labels\000000437.tif 
images\000000438.tif  labels\000000438.tif 
images\000000439.tif  labels\000000439.tif 
images\000000440.tif  labels\000000440.tif 
images\000000441.tif  labels\000000441.tif 
images\000000442.tif  labels\000000442.tif 
images\000000443.tif  labels\000000443.tif 
images\000000444.tif  labels\000000444.tif 
images\000000445.tif  labels\000000445.tif 
images\000000446.tif  labels\000000446.tif 
images\000000447.tif  labels\000000447.tif 
images\000000448.tif  labels\000000448.tif 
images\000000449.tif  labels\000000449.tif 
images\000000450.tif  labels\000000450.tif 
images\000000451.tif  labels\000000451.tif 
images\000000452.tif  labels\000000452.tif 
images\000000453.tif  labels\000000453.tif 
images\000000454.tif  labels\000000454.tif 
images\000000455.tif  labels\000000455.tif 
images\000000456.tif  labels\000000456.tif 
images\000000457.tif  labels\000000457.tif 
images\000000458.tif  labels\000000458.tif 
images\000000459.tif  labels\000000459.tif 
images\000000460.tif  labels\000000460.tif 
images\000000461.tif  labels\000000461.tif 
images\000000462.tif  labels\000000462.tif 
images\000000463.tif  labels\000000463.tif 
images\000000464.tif  labels\000000464.tif 
images\000000465.tif  labels\000000465.tif 
images\000000466.tif  labels\000000466.tif 
images\000000467.tif  labels\000000467.tif 
images\000000468.tif  labels\000000468.tif 
images\000000469.tif  labels\000000469.tif 
images\000000470.tif  labels\000000470.tif 
images\000000471.tif  labels\000000471.tif 
images\000000472.tif  labels\000000472.tif 
images\000000473.tif  labels\000000473.tif 
images\000000474.tif  labels\000000474.tif 
images\000000475.tif  labels\000000475.tif 
images\000000476.tif  labels\000000476.tif 
images\000000477.tif  labels\000000477.tif 
images\000000478.tif  labels\000000478.tif 
images\000000479.tif  labels\000000479.tif 
images\000000480.tif  labels\000000480.tif 
images\000000481.tif  labels\000000481.tif 
images\000000482.tif  labels\000000482.tif 
images\000000483.tif  labels\000000483.tif 
images\000000484.tif  labels\000000484.tif 
images\000000485.tif  labels\000000485.tif 
images\000000486.tif  labels\000000486.tif 
images\000000487.tif  labels\000000487.tif 
images\000000488.tif  labels\000000488.tif 
images\000000489.tif  labels\000000489.tif 
images\000000490.tif  labels\000000490.tif 
images\000000491.tif  labels\000000491.tif 
images\000000492.tif  labels\000000492.tif 
images\000000493.tif  labels\000000493.tif 
images\000000494.tif  labels\000000494.tif 
images\000000495.tif  labels\000000495.tif 
images\000000496.tif  labels\000000496.tif 
images\000000497.tif  labels\000000497.tif 
images\000000498.tif  labels\000000498.tif 
images\000000499.tif  labels\000000499.tif 
images\000000500.tif  labels\000000500.tif 
images\000000501.tif  labels\000000501.tif 
images\000000502.tif  labels\000000502.tif 
images\000000503.tif  labels\000000503.tif 
images\000000504.tif  labels\000000504.tif 
images\000000505.tif  labels\000000505.tif 
images\000000506.tif  labels\000000506.tif 
images\000000507.tif  labels\000000507.tif 
images\000000508.tif  labels\000000508.tif 
images\000000509.tif  labels\000000509.tif 
images\000000510.tif  labels\000000510.tif 
images\000000511.tif  labels\000000511.tif 
images\000000512.tif  labels\000000512.tif 
images\000000513.tif  labels\000000513.tif 
images\000000514.tif  labels\000000514.tif 
images\000000515.tif  labels\000000515.tif 
images\000000516.tif  labels\000000516.tif 
images\000000517.tif  labels\000000517.tif 
images\000000518.tif  labels\000000518.tif 
images\000000519.tif  labels\000000519.tif 
images\000000520.tif  labels\000000520.tif 
images\000000521.tif  labels\000000521.tif 
images\000000522.tif  labels\000000522.tif 
images\000000523.tif  labels\000000523.tif 
images\000000524.tif  labels\000000524.tif 
images\000000525.tif  labels\000000525.tif 
images\000000526.tif  labels\000000526.tif 
images\000000527.tif  labels\000000527.tif 
images\000000528.tif  labels\000000528.tif 
images\000000529.tif  labels\000000529.tif 
images\000000530.tif  labels\000000530.tif 
images\000000531.tif  labels\000000531.tif 
images\000000532.tif  labels\000000532.tif 
images\000000533.tif  labels\000000533.tif 
images\000000534.tif  labels\000000534.tif 
images\000000535.tif  labels\000000535.tif 
images\000000536.tif  labels\000000536.tif 
images\000000537.tif  labels\000000537.tif 
images\000000538.tif  labels\000000538.tif 
images\000000539.tif  labels\000000539.tif 
images\000000540.tif  labels\000000540.tif 
images\000000541.tif  labels\000000541.tif 
images\000000542.tif  labels\000000542.tif 
images\000000543.tif  labels\000000543.tif 
images\000000544.tif  labels\000000544.tif 
images\000000545.tif  labels\000000545.tif 
images\000000546.tif  labels\000000546.tif 
images\000000547.tif  labels\000000547.tif 
images\000000548.tif  labels\000000548.tif 
images\000000549.tif  labels\000000549.tif 
images\000000550.tif  labels\000000550.tif 
images\000000551.tif  labels\000000551.tif 
images\000000552.tif  labels\000000552.tif 
images\000000553.tif  labels\000000553.tif 
images\000000554.tif  labels\000000554.tif 
images\000000555.tif  labels\000000555.tif 
images\000000556.tif  labels\000000556.tif 
images\000000557.tif  labels\000000557.tif 
images\000000558.tif  labels\000000558.tif 
images\000000559.tif  labels\000000559.tif 
images\000000560.tif  labels\000000560.tif 
images\000000561.tif  labels\000000561.tif 
images\000000562.tif  labels\000000562.tif 
images\000000563.tif  labels\000000563.tif 
images\000000564.tif  labels\000000564.tif 
images\000000565.tif  labels\000000565.tif 
images\000000566.tif  labels\000000566.tif 
images\000000567.tif  labels\000000567.tif 
images\000000568.tif  labels\000000568.tif 
images\000000569.tif  labels\000000569.tif 
images\000000570.tif  labels\000000570.tif 
images\000000571.tif  labels\000000571.tif 
images\000000572.tif  labels\000000572.tif 
images\000000573.tif  labels\000000573.tif 
images\000000574.tif  labels\000000574.tif 
images\000000575.tif  labels\000000575.tif 
images\000000576.tif  labels\000000576.tif 
images\000000577.tif  labels\000000577.tif 
images\000000578.tif  labels\000000578.tif 
images\000000579.tif  labels\000000579.tif 
images\000000580.tif  labels\000000580.tif 
images\000000581.tif  labels\000000581.tif 
images\000000582.tif  labels\000000582.tif 
images\000000583.tif  labels\000000583.tif 
images\000000584.tif  labels\000000584.tif 
images\000000585.tif  labels\000000585.tif 
images\000000586.tif  labels\000000586.tif 
images\000000587.tif  labels\000000587.tif 
images\000000588.tif  labels\000000588.tif 
images\000000589.tif  labels\000000589.tif 
images\000000590.tif  labels\000000590.tif 
images\000000591.tif  labels\000000591.tif 
images\000000592.tif  labels\000000592.tif 
images\000000593.tif  labels\000000593.tif 
images\000000594.tif  labels\000000594.tif 
images\000000595.tif  labels\000000595.tif 
images\000000596.tif  labels\000000596.tif 
images\000000597.tif  labels\000000597.tif 
images\000000598.tif  labels\000000598.tif 
images\000000599.tif  labels\000000599.tif 
images\000000600.tif  labels\000000600.tif 
images\000000601.tif  labels\000000601.tif 
images\000000602.tif  labels\000000602.tif 
images\000000603.tif  labels\000000603.tif 
images\000000604.tif  labels\000000604.tif 
images\000000605.tif  labels\000000605.tif 
images\000000606.tif  labels\000000606.tif 
images\000000607.tif  labels\000000607.tif 
images\000000608.tif  labels\000000608.tif 
images\000000609.tif  labels\000000609.tif 
images\000000610.tif  labels\000000610.tif 
images\000000611.tif  labels\000000611.tif 
images\000000612.tif  labels\000000612.tif 
images\000000613.tif  labels\000000613.tif 
images\000000614.tif  labels\000000614.tif 
images\000000615.tif  labels\000000615.tif 
images\000000616.tif  labels\000000616.tif 
images\000000617.tif  labels\000000617.tif 
images\000000618.tif  labels\000000618.tif 
images\000000619.tif  labels\000000619.tif 
images\000000620.tif  labels\000000620.tif 
images\000000621.tif  labels\000000621.tif 
images\000000622.tif  labels\000000622.tif 
images\000000623.tif  labels\000000623.tif 
images\000000624.tif  labels\000000624.tif 
images\000000625.tif  labels\000000625.tif 
images\000000626.tif  labels\000000626.tif 
images\000000627.tif  labels\000000627.tif 
images\000000628.tif  labels\000000628.tif 
images\000000629.tif  labels\000000629.tif 
images\000000630.tif  labels\000000630.tif 
images\000000631.tif  labels\000000631.tif 
images\000000632.tif  labels\000000632.tif 
images\000000633.tif  labels\000000633.tif 
images\000000634.tif  labels\000000634.tif 
images\000000635.tif  labels\000000635.tif 
images\000000636.tif  labels\000000636.tif 
images\000000637.tif  labels\000000637.tif 
images\000000638.tif  labels\000000638.tif 
images\000000639.tif  labels\000000639.tif 
images\000000640.tif  labels\000000640.tif 
images\000000641.tif  labels\000000641.tif 
images\000000642.tif  labels\000000642.tif 
images\000000643.tif  labels\000000643.tif 
images\000000644.tif  labels\000000644.tif 
images\000000645.tif  labels\000000645.tif 
images\000000646.tif  labels\000000646.tif 
images\000000647.tif  labels\000000647.tif 
images\000000648.tif  labels\000000648.tif 
images\000000649.tif  labels\000000649.tif 
images\000000650.tif  labels\000000650.tif 
images\000000651.tif  labels\000000651.tif 
images\000000652.tif  labels\000000652.tif 
images\000000653.tif  labels\000000653.tif 
images\000000654.tif  labels\000000654.tif 
images\000000655.tif  labels\000000655.tif 
images\000000656.tif  labels\000000656.tif 
images\000000657.tif  labels\000000657.tif 
images\000000658.tif  labels\000000658.tif 
images\000000659.tif  labels\000000659.tif 
images\000000660.tif  labels\000000660.tif 
images\000000661.tif  labels\000000661.tif 
images\000000662.tif  labels\000000662.tif 
images\000000663.tif  labels\000000663.tif 
images\000000664.tif  labels\000000664.tif 
images\000000665.tif  labels\000000665.tif 
images\000000666.tif  labels\000000666.tif 
images\000000667.tif  labels\000000667.tif 
images\000000668.tif  labels\000000668.tif 
images\000000669.tif  labels\000000669.tif 
images\000000670.tif  labels\000000670.tif 
images\000000671.tif  labels\000000671.tif 
images\000000672.tif  labels\000000672.tif 
images\000000673.tif  labels\000000673.tif 
images\000000674.tif  labels\000000674.tif 
images\000000675.tif  labels\000000675.tif 
images\000000676.tif  labels\000000676.tif 
images\000000677.tif  labels\000000677.tif 
images\000000678.tif  labels\000000678.tif 
images\000000679.tif  labels\000000679.tif 
images\000000680.tif  labels\000000680.tif 
images\000000681.tif  labels\000000681.tif 
images\000000682.tif  labels\000000682.tif 
images\000000683.tif  labels\000000683.tif 
images\000000684.tif  labels\000000684.tif 
images\000000685.tif  labels\000000685.tif 
images\000000686.tif  labels\000000686.tif 
images\000000687.tif  labels\000000687.tif 
images\000000688.tif  labels\000000688.tif 
images\000000689.tif  labels\000000689.tif 
images\000000690.tif  labels\000000690.tif 
images\000000691.tif  labels\000000691.tif 
images\000000692.tif  labels\000000692.tif 
images\000000693.tif  labels\000000693.tif 
images\000000694.tif  labels\000000694.tif 
images\000000695.tif  labels\000000695.tif 
images\000000696.tif  labels\000000696.tif 
images\000000697.tif  labels\000000697.tif 
images\000000698.tif  labels\000000698.tif 
